,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
320,agdas,AZ,40.65,47.4761,78.67,39,11,11.25,few clouds
321,vardo,NO,70.3705,31.1107,44.8,61,0,19.57,clear sky
322,shingu,JP,33.7333,135.9833,63.91,90,100,3.78,overcast clouds
323,wonthaggi,AU,-38.6044,145.5913,52.83,66,96,17.63,overcast clouds
324,avera,US,33.194,-82.5271,87.69,48,8,5.46,clear sky
325,maroantsetra,MG,-15.4333,49.7333,74.57,76,13,5.99,few clouds
326,olafsvik,IS,64.8945,-23.7142,46.11,82,41,9.82,scattered clouds
327,camacha,PT,33.0833,-16.3333,70.56,56,20,12.66,few clouds
328,hingoli,IN,19.7167,77.15,85.59,51,82,11.18,broken clouds
329,payakumbuh,ID,-0.2202,100.6308,70.72,97,100,1.36,moderate rain
330,laukaa,RU,58.7372,29.8453,54.18,92,100,7.54,light rain
331,hohhot,CN,40.8106,111.6522,59.29,21,0,8.63,clear sky
332,shimoda,JP,34.6667,138.95,66.16,90,100,19.24,overcast clouds
333,dustlik,UZ,40.5247,68.0358,87.26,21,48,7.61,scattered clouds
334,yar-sale,RU,66.8333,70.8333,41.22,46,100,7.74,overcast clouds
335,kudahuvadhoo,MV,2.6708,72.8944,83.93,74,100,19.89,overcast clouds
336,airai,TL,-8.9266,125.4092,56.37,87,52,4.88,broken clouds
337,frontino,CO,6.7801,-76.1288,72.32,81,94,0.76,overcast clouds
338,gilgit,PK,35.9221,74.3087,77.34,31,29,0.36,scattered clouds
339,soroca,MD,48.1558,28.2975,60.4,90,100,1.9,overcast clouds
340,bayji,IQ,34.9311,43.487,103.59,8,0,9.31,clear sky
341,santa maria,BR,-29.6842,-53.8069,61.9,72,0,1.12,clear sky
342,evensk,RU,61.95,159.2333,37.89,79,98,14.65,overcast clouds
343,beipiao,CN,41.7919,120.7792,54.91,85,100,6.73,moderate rain
344,kutulik,RU,53.3508,102.7839,47.95,56,73,7.83,broken clouds
345,belyy yar,RU,53.6039,91.3903,67.89,60,40,8.39,scattered clouds
346,saint-augustin,CA,51.226,-58.6502,50.43,92,100,2.8,overcast clouds
347,devonport,AU,-41.1667,146.35,45.01,68,29,9.26,scattered clouds
348,dauphin,CA,51.1494,-100.0502,42.94,52,1,4.61,clear sky
349,vila franca do campo,PT,37.7167,-25.4333,64.81,66,66,10.83,broken clouds
350,leningradskiy,RU,69.3833,178.4167,24.15,92,33,6.24,scattered clouds
351,havelock,US,34.8791,-76.9013,86.05,68,1,3.0,clear sky
352,yerbogachen,RU,61.2767,108.0108,46.72,83,92,1.72,overcast clouds
353,kushima,JP,31.4583,131.2333,65.12,91,100,6.42,overcast clouds
354,saint-joseph,RE,-21.3667,55.6167,75.58,81,53,4.72,broken clouds
355,myaundzha,RU,63.0494,147.1858,38.12,76,77,8.37,broken clouds
356,mahibadhoo,MV,3.7833,72.9667,83.26,76,100,20.24,overcast clouds
357,sola,VU,-13.8833,167.55,76.14,70,100,9.82,overcast clouds
358,otterup,DK,55.5153,10.3976,57.4,77,76,17.16,broken clouds
