,Unnamed: 0,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
213,213,jutai,BR,-5.1833,-68.9,87.66,60,17,0.74,few clouds
216,216,kahului,US,20.8947,-156.47,76.84,84,40,6.91,scattered clouds
224,224,biak,ID,-0.9131,122.8766,76.98,85,35,6.08,scattered clouds
225,225,mazatlan,MX,23.2167,-106.4167,80.91,83,20,1.99,few clouds
226,226,vilhena,BR,-12.7406,-60.1458,84.42,51,0,6.91,clear sky
227,227,salalah,OM,17.0151,54.0924,86.09,74,20,11.5,few clouds
229,229,namatanai,PG,-3.6667,152.4333,79.86,82,100,10.11,overcast clouds
230,230,pitimbu,BR,-7.4706,-34.8086,82.99,77,52,16.75,broken clouds
237,237,meulaboh,ID,4.1363,96.1285,78.91,84,100,3.4,overcast clouds
244,244,bitung,ID,1.4451,125.1824,77.85,83,34,7.9,scattered clouds
246,246,key west,US,24.5557,-81.7826,82.99,72,75,6.91,broken clouds
247,247,vieste,IT,41.8825,16.175,79.3,63,5,8.63,clear sky
254,254,bubaque,GW,11.2833,-15.8333,78.93,74,39,9.1,scattered clouds
255,255,itarema,BR,-2.9248,-39.9167,86.67,54,13,14.5,few clouds
259,259,kununurra,AU,-15.7667,128.7333,78.78,29,99,10.36,overcast clouds
263,263,chardara,KZ,41.2547,67.9692,87.15,25,93,7.83,overcast clouds
266,266,lata,PT,40.1629,-8.3327,85.71,48,100,8.81,overcast clouds
272,272,lamar,US,33.6668,-95.5836,80.98,80,75,13.56,broken clouds
273,273,camocim,BR,-2.9022,-40.8411,87.85,51,16,9.6,few clouds
278,278,bandarbeyla,SO,9.4942,50.8122,80.29,76,50,25.19,scattered clouds
279,279,syracuse,IT,37.0881,15.2792,82.44,63,1,15.43,clear sky
282,282,grand-santi,GF,4.25,-54.3833,76.46,98,100,2.66,light rain
284,284,the valley,AI,18.217,-63.0578,85.86,72,2,10.54,clear sky
286,286,axim,GH,4.8699,-2.2405,85.71,67,70,9.71,broken clouds
291,291,novokorsunskaya,RU,45.6408,39.1464,79.02,74,64,6.71,broken clouds
292,292,sabang,ID,5.8933,95.3214,85.21,72,100,15.75,overcast clouds
294,294,marsa matruh,EG,31.3525,27.2453,79.0,61,0,14.97,clear sky
296,296,dingle,PH,10.9995,122.6711,79.92,83,35,4.32,light rain
297,297,lorengau,PG,-2.0226,147.2712,77.67,87,100,5.73,overcast clouds
298,298,port blair,IN,11.6667,92.75,82.6,83,100,8.55,overcast clouds
309,309,fare,PF,-16.7,-151.0167,80.02,72,1,6.06,clear sky
310,310,salinopolis,BR,-0.6136,-47.3561,86.04,63,57,6.17,broken clouds
314,314,muisne,EC,0.6,-80.0333,78.51,85,95,11.01,light rain
317,317,hirara,JP,24.8,125.2833,82.56,85,79,10.54,broken clouds
318,318,san felipe,VE,10.3399,-68.7425,85.44,61,86,2.59,overcast clouds
320,320,agdas,AZ,40.65,47.4761,78.67,39,11,11.25,few clouds
324,324,avera,US,33.194,-82.5271,87.69,48,8,5.46,clear sky
328,328,hingoli,IN,19.7167,77.15,85.59,51,82,11.18,broken clouds
333,333,dustlik,UZ,40.5247,68.0358,87.26,21,48,7.61,scattered clouds
335,335,kudahuvadhoo,MV,2.6708,72.8944,83.93,74,100,19.89,overcast clouds
338,338,gilgit,PK,35.9221,74.3087,77.34,31,29,0.36,scattered clouds
351,351,havelock,US,34.8791,-76.9013,86.05,68,1,3.0,clear sky
354,354,saint-joseph,RE,-21.3667,55.6167,75.58,81,53,4.72,broken clouds
356,356,mahibadhoo,MV,3.7833,72.9667,83.26,76,100,20.24,overcast clouds
357,357,sola,VU,-13.8833,167.55,76.14,70,100,9.82,overcast clouds
365,365,nishihara,JP,26.1842,127.7558,82.06,88,75,5.68,broken clouds
370,370,sorong,ID,-0.8833,131.25,78.89,88,100,10.51,overcast clouds
371,371,beira,MZ,-19.8436,34.8389,75.29,73,20,6.02,few clouds
372,372,cubuk,TR,40.2386,33.0322,85.91,19,75,12.46,broken clouds
374,374,kavieng,PG,-2.5744,150.7967,82.47,73,100,10.38,light rain
376,376,trairi,BR,-3.2778,-39.2689,85.59,58,5,12.26,clear sky
378,378,bathsheba,BB,13.2167,-59.5167,86.61,54,40,17.9,scattered clouds
382,382,itamarandiba,BR,-17.8572,-42.8589,83.25,45,63,1.39,broken clouds
