City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
229,Juba,SS,2021-05-26 15:15:22,4.8517,31.5825,84.31,57,99,5.95
230,Key West,US,2021-05-26 15:12:23,24.5557,-81.7826,82.99,63,20,13.8
231,Ginir,ET,2021-05-26 15:15:23,7.1333,40.7,63.73,75,97,9.4
232,Lompoc,US,2021-05-26 15:13:46,34.6391,-120.4579,66.09,90,90,9.22
233,Alice Springs,AU,2021-05-26 15:15:24,-23.7,133.8833,49.55,57,95,8.39
234,Makakilo City,US,2021-05-26 15:15:24,21.3469,-158.0858,73.72,81,1,4.61
235,Vitim,RU,2021-05-26 15:15:24,59.4511,112.5578,45.7,74,96,2.77
236,Ternate,ID,2021-05-26 15:15:25,0.8,127.4,81.82,80,98,4.0
237,Clarence Town,AU,2021-05-26 15:15:25,-32.5833,151.7833,55.62,71,0,5.99
238,Mugur-Aksy,RU,2021-05-26 15:15:26,50.35,90.5,54.61,57,41,5.73
239,Petropavlovsk-Kamchatskiy,RU,2021-05-26 15:15:26,53.0452,158.6483,36.57,97,100,4.21
240,Jagdalpur,IN,2021-05-26 15:15:26,19.0667,82.0333,82.74,40,100,8.34
241,Sharanga,RU,2021-05-26 15:15:27,57.1775,46.5396,58.26,59,12,9.24
242,Sitka,US,2021-05-26 15:15:06,57.0531,-135.33,46.29,87,90,0.0
243,Cayenne,GF,2021-05-26 15:15:27,4.9333,-52.3333,86.09,80,75,3.0
244,Doctor Juan Manuel Frutos,PY,2021-05-26 15:15:28,-25.3667,-55.8,71.62,34,72,3.89
245,Lebu,CL,2021-05-26 15:15:28,-37.6167,-73.65,57.78,91,100,7.36
246,Port Augusta,AU,2021-05-26 15:15:28,-32.5,137.7667,45.72,70,0,5.64
247,Victoria,HK,2021-05-26 15:14:15,22.2855,114.1577,87.33,85,69,1.01
248,Arandis,NA,2021-05-26 15:15:29,-22.4167,14.9667,63.46,14,0,2.73
249,Hamina,FI,2021-05-26 15:15:29,60.5697,27.1979,43.88,95,100,24.02
250,Creel,MX,2021-05-26 15:15:29,27.75,-107.6333,65.73,17,65,3.71
251,Sobolevo,RU,2021-05-26 15:15:30,54.4299,31.8996,59.7,72,99,6.87
252,Naryan-Mar,RU,2021-05-26 15:15:30,67.6713,53.087,41.68,49,100,12.39
253,Shebunino,RU,2021-05-26 15:15:31,46.4339,141.8603,42.06,90,100,5.59
254,Northam,GB,2021-05-26 15:15:31,51.0333,-4.2167,61.3,78,18,9.31
255,Sept-Iles,CA,2021-05-26 15:15:32,50.2001,-66.3821,47.25,95,90,8.01
256,Cidreira,BR,2021-05-26 15:15:32,-30.1811,-50.2056,63.81,53,0,6.67
