City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
192,waipawa,NZ,-41.4122,175.5153,51.46,85,98,4.23,overcast clouds
193,sabang,ID,5.8933,95.3214,83.82,74,97,26.37,overcast clouds
194,adrar,MR,20.5022,-10.0711,95.13,14,47,14.41,scattered clouds
195,kuruman,ZA,-27.4524,23.4325,70.0,21,9,12.17,clear sky
196,avera,US,33.194,-82.5271,73.71,84,31,5.55,scattered clouds
197,kropotkin,RU,45.4375,40.5756,78.19,58,11,6.91,few clouds
198,bilma,NE,18.6853,12.9164,102.6,4,2,4.23,clear sky
199,carnarvon,AU,-24.8667,113.6333,77.07,78,2,12.66,clear sky
200,natal,BR,-5.795,-35.2094,75.42,88,40,9.08,scattered clouds
201,port lincoln,AU,-34.7333,135.8667,57.78,67,100,7.54,overcast clouds
202,nobres,BR,-14.7203,-56.3275,71.1,65,99,4.36,overcast clouds
203,narsaq,GL,60.9167,-46.05,48.42,58,100,2.57,overcast clouds
204,yurgamysh,RU,55.3714,64.4656,72.27,38,11,8.25,few clouds
205,karlstad,SE,59.3793,13.5036,63.16,29,0,4.21,clear sky
206,aswan,EG,24.0934,32.907,103.35,9,97,12.37,overcast clouds
207,halifax,CA,44.6453,-63.5724,47.21,70,20,1.99,few clouds
208,ginda,IN,30.6945,78.4932,86.56,20,0,8.79,clear sky
209,olga,RU,43.7444,135.2892,46.44,93,100,9.24,light rain
210,alihe,CN,50.5667,123.7167,58.1,58,57,3.89,broken clouds
211,berlevag,NO,70.8578,29.0864,37.4,70,75,17.27,light rain
212,kavieng,PG,-2.5744,150.7967,81.43,82,99,9.95,moderate rain
213,liling,CN,27.6667,113.5,69.69,95,100,3.33,light rain
214,cherskiy,RU,68.75,161.3,49.64,46,79,18.99,broken clouds
215,grand-santi,GF,4.25,-54.3833,72.46,100,100,1.23,overcast clouds
216,ust-nera,RU,64.5667,143.2,50.41,75,99,7.87,light rain
217,gurupa,BR,-1.405,-51.64,72.97,98,88,1.7,overcast clouds
218,yazman,PK,29.1212,71.7446,115.25,8,0,14.03,clear sky
219,roald,NO,62.5833,6.1333,65.16,71,0,14.97,clear sky
220,constitucion,CL,-35.3333,-72.4167,52.03,84,9,3.09,clear sky
221,brookhaven,US,31.5791,-90.4407,71.71,99,53,6.17,broken clouds
222,half moon bay,US,37.4636,-122.4286,58.51,88,90,1.01,overcast clouds
223,shchigry,RU,51.8755,36.9043,76.82,56,58,7.0,broken clouds
